FlightNumber;Date;BoosterVersion;PayloadMass;Orbit;LaunchSite;Outcome;Flights;GridFins;Reused;Legs;LandingPad;Block;ReusedCount;Serial;Longitude;Latitude
36;14/08/2017;Falcon 9;2910.0;ISS;KSC LC 39A;True RTLS;1;True;False;True;5e9e3032383ecb267a34e7c7;4.0;1;B1039;-80.6039558;28.6080585
37;24/08/2017;Falcon 9;475.0;SSO;VAFB SLC 4E;True ASDS;1;True;False;True;5e9e3033383ecbb9e534e7cc;3.0;1;B1038;-120.610829;34.632093
38;07/09/2017;Falcon 9;4990.0;LEO;KSC LC 39A;True RTLS;1;True;False;True;5e9e3032383ecb267a34e7c7;4.0;1;B1040;-80.6039558;28.6080585
39;09/10/2017;Falcon 9;9600.0;PO;VAFB SLC 4E;True ASDS;1;True;False;True;5e9e3033383ecbb9e534e7cc;4.0;1;B1041;-120.610829;34.632093
40;11/10/2017;Falcon 9;5200.0;GTO;KSC LC 39A;True ASDS;2;True;True;True;5e9e3032383ecb6bb234e7ca;3.0;1;B1031;-80.6039558;28.6080585
41;30/10/2017;Falcon 9;3700.0;GTO;KSC LC 39A;True ASDS;1;True;False;True;5e9e3032383ecb6bb234e7ca;4.0;0;B1042;-80.6039558;28.6080585
42;15/12/2017;Falcon 9;2205.0;ISS;CCSFS SLC 40;True RTLS;2;True;True;True;5e9e3032383ecb267a34e7c7;3.0;1;B1035;-80.577366;28.5618571
43;23/12/2017;Falcon 9;9600.0;PO;VAFB SLC 4E;True Ocean;2;True;True;False;;3.0;1;B1036;-120.610829;34.632093
44;08/01/2018;Falcon 9;6123.547647058824;LEO;CCSFS SLC 40;True RTLS;1;True;False;True;5e9e3032383ecb267a34e7c7;4.0;1;B1043;-80.577366;28.5618571
45;31/01/2018;Falcon 9;4230.0;GTO;CCSFS SLC 40;True Ocean;2;True;True;True;;3.0;1;B1032;-80.577366;28.5618571
46;06/03/2018;Falcon 9;6092.0;GTO;CCSFS SLC 40;None None;1;True;False;True;;4.0;0;B1044;-80.577366;28.5618571
47;30/03/2018;Falcon 9;9600.0;PO;VAFB SLC 4E;None None;2;True;True;True;;4.0;1;B1041;-120.610829;34.632093
48;02/04/2018;Falcon 9;2760.0;ISS;CCSFS SLC 40;None None;2;True;True;True;;4.0;1;B1039;-80.577366;28.5618571
49;18/04/2018;Falcon 9;350.0;HEO;CCSFS SLC 40;True ASDS;1;True;False;True;5e9e3032383ecb6bb234e7ca;4.0;1;B1045;-80.577366;28.5618571
50;11/05/2018;Falcon 9;3750.0;GTO;KSC LC 39A;True ASDS;1;True;False;True;5e9e3032383ecb6bb234e7ca;5.0;3;B1046;-80.6039558;28.6080585
51;04/06/2018;Falcon 9;5383.85;GTO;CCSFS SLC 40;None None;2;False;True;False;;4.0;1;B1040;-80.577366;28.5618571
52;29/06/2018;Falcon 9;2410.0;ISS;CCSFS SLC 40;None None;2;False;True;False;;4.0;1;B1045;-80.577366;28.5618571
53;22/07/2018;Falcon 9;7076.0;GTO;CCSFS SLC 40;True ASDS;1;True;False;True;5e9e3032383ecb6bb234e7ca;5.0;2;B1047;-80.577366;28.5618571
54;25/07/2018;Falcon 9;9600.0;PO;VAFB SLC 4E;True ASDS;1;True;False;True;5e9e3033383ecbb9e534e7cc;5.0;4;B1048;-120.610829;34.632093
55;07/08/2018;Falcon 9;5800.0;GTO;CCSFS SLC 40;True ASDS;2;True;True;True;5e9e3032383ecb6bb234e7ca;5.0;3;B1046;-80.577366;28.5618571
56;10/09/2018;Falcon 9;7060.0;GTO;CCSFS SLC 40;True ASDS;1;True;False;True;5e9e3032383ecb6bb234e7ca;5.0;9;B1049;-80.577366;28.5618571
57;08/10/2018;Falcon 9;2800.0;SSO;VAFB SLC 4E;True RTLS;2;True;True;True;5e9e3032383ecb554034e7c9;5.0;4;B1048;-120.610829;34.632093
58;15/11/2018;Falcon 9;3000.0;GTO;KSC LC 39A;True ASDS;2;True;True;True;5e9e3032383ecb6bb234e7ca;5.0;2;B1047;-80.6039558;28.6080585
59;03/12/2018;Falcon 9;4000.0;SSO;VAFB SLC 4E;True ASDS;3;True;True;True;5e9e3033383ecbb9e534e7cc;5.0;3;B1046;-120.610829;34.632093
60;05/12/2018;Falcon 9;2573.0;ISS;CCSFS SLC 40;False RTLS;1;True;False;True;5e9e3032383ecb267a34e7c7;5.0;0;B1050;-80.577366;28.5618571
61;23/12/2018;Falcon 9;4400.0;MEO;CCSFS SLC 40;None None;1;False;False;False;;5.0;0;B1054;-80.577366;28.5618571
62;11/01/2019;Falcon 9;9600.0;PO;VAFB SLC 4E;True ASDS;2;True;True;True;5e9e3033383ecbb9e534e7cc;5.0;9;B1049;-120.610829;34.632093
63;02/03/2019;Falcon 9;12259.0;ISS;KSC LC 39A;True ASDS;1;True;False;True;5e9e3032383ecb6bb234e7ca;5.0;12;B1051;-80.6039558;28.6080585
64;04/05/2019;Falcon 9;2482.0;ISS;CCSFS SLC 40;True ASDS;1;True;False;True;5e9e3032383ecb6bb234e7ca;5.0;3;B1056;-80.577366;28.5618571
65;24/05/2019;Falcon 9;13200.0;VLEO;CCSFS SLC 40;True ASDS;3;True;True;True;5e9e3032383ecb6bb234e7ca;5.0;9;B1049;-80.577366;28.5618571
66;12/06/2019;Falcon 9;1425.0;SSO;VAFB SLC 4E;True RTLS;2;True;True;True;5e9e3032383ecb554034e7c9;5.0;12;B1051;-120.610829;34.632093
67;25/07/2019;Falcon 9;2227.7;ISS;CCSFS SLC 40;True RTLS;2;True;True;True;5e9e3032383ecb267a34e7c7;5.0;3;B1056;-80.577366;28.5618571
68;06/08/2019;Falcon 9;6500.0;GTO;CCSFS SLC 40;None None;3;False;True;False;;5.0;2;B1047;-80.577366;28.5618571
69;11/11/2019;Falcon 9;15600.0;VLEO;CCSFS SLC 40;True ASDS;4;True;True;True;5e9e3032383ecb6bb234e7ca;5.0;4;B1048;-80.577366;28.5618571
70;05/12/2019;Falcon 9;5000.0;ISS;CCSFS SLC 40;True ASDS;1;True;False;True;5e9e3032383ecb6bb234e7ca;5.0;5;B1059;-80.577366;28.5618571
71;17/12/2019;Falcon 9;6800.0;GTO;CCSFS SLC 40;True ASDS;3;True;True;True;5e9e3032383ecb6bb234e7ca;5.0;3;B1056;-80.577366;28.5618571
72;07/01/2020;Falcon 9;15600.0;VLEO;CCSFS SLC 40;True ASDS;4;True;True;True;5e9e3032383ecb6bb234e7ca;5.0;9;B1049;-80.577366;28.5618571
73;19/01/2020;Falcon 9;6123.547647058824;SO;KSC LC 39A;None None;4;False;True;False;;5.0;3;B1046;-80.6039558;28.6080585
74;29/01/2020;Falcon 9;15600.0;VLEO;CCSFS SLC 40;True ASDS;3;True;True;True;5e9e3032383ecb6bb234e7ca;5.0;12;B1051;-80.577366;28.5618571
75;17/02/2020;Falcon 9;15600.0;VLEO;CCSFS SLC 40;False ASDS;4;True;True;True;5e9e3032383ecb6bb234e7ca;5.0;3;B1056;-80.577366;28.5618571
76;07/03/2020;Falcon 9;1977.0;ISS;CCSFS SLC 40;True RTLS;2;True;True;True;5e9e3032383ecb267a34e7c7;5.0;5;B1059;-80.577366;28.5618571
77;18/03/2020;Falcon 9;15600.0;VLEO;KSC LC 39A;False ASDS;5;True;True;True;5e9e3032383ecb6bb234e7ca;5.0;4;B1048;-80.6039558;28.6080585
78;22/04/2020;Falcon 9;15600.0;VLEO;KSC LC 39A;True ASDS;4;True;True;True;5e9e3032383ecb6bb234e7ca;5.0;12;B1051;-80.6039558;28.6080585
79;30/05/2020;Falcon 9;9525.0;ISS;KSC LC 39A;True ASDS;1;True;False;True;5e9e3032383ecb6bb234e7ca;5.0;12;B1058;-80.6039558;28.6080585
80;04/06/2020;Falcon 9;15600.0;VLEO;CCSFS SLC 40;True ASDS;5;True;True;True;5e9e3033383ecbb9e534e7cc;5.0;9;B1049;-80.577366;28.5618571
81;13/06/2020;Falcon 9;15600.0;VLEO;CCSFS SLC 40;True ASDS;3;True;True;True;5e9e3032383ecb6bb234e7ca;5.0;5;B1059;-80.577366;28.5618571
82;30/06/2020;Falcon 9;3880.0;MEO;CCSFS SLC 40;True ASDS;1;True;False;True;5e9e3033383ecbb9e534e7cc;5.0;12;B1060;-80.577366;28.5618571
83;20/07/2020;Falcon 9;6123.547647058824;GEO;CCSFS SLC 40;True ASDS;2;True;True;True;5e9e3033383ecbb9e534e7cc;5.0;12;B1058;-80.577366;28.5618571
84;18/08/2020;Falcon 9;15600.0;VLEO;CCSFS SLC 40;True ASDS;6;True;True;True;5e9e3032383ecb6bb234e7ca;5.0;9;B1049;-80.577366;28.5618571
85;30/08/2020;Falcon 9;1600.0;SSO;CCSFS SLC 40;True RTLS;4;True;True;True;5e9e3032383ecb267a34e7c7;5.0;5;B1059;-80.577366;28.5618571
86;03/09/2020;Falcon 9;15600.0;VLEO;KSC LC 39A;True ASDS;2;True;True;True;5e9e3032383ecb6bb234e7ca;5.0;12;B1060;-80.6039558;28.6080585
87;06/10/2020;Falcon 9;15600.0;VLEO;KSC LC 39A;True ASDS;3;True;True;True;5e9e3032383ecb6bb234e7ca;5.0;12;B1058;-80.6039558;28.6080585
88;18/10/2020;Falcon 9;15600.0;VLEO;KSC LC 39A;True ASDS;6;True;True;True;5e9e3032383ecb6bb234e7ca;5.0;12;B1051;-80.6039558;28.6080585
89;24/10/2020;Falcon 9;15600.0;VLEO;CCSFS SLC 40;True ASDS;3;True;True;True;5e9e3033383ecbb9e534e7cc;5.0;12;B1060;-80.577366;28.5618571
90;05/11/2020;Falcon 9;3681.0;MEO;CCSFS SLC 40;True ASDS;1;True;False;True;5e9e3032383ecb6bb234e7ca;5.0;8;B1062;-80.577366;28.5618571
